Categoria,Subcategoria,Descrição
Comercio,categorias,ESPUMANTES
Comercio,categorias,ESPUMANTES_TOTAL
Comercio,categorias,OUTROS PRODUTOS COMERCIALIZADOS
Comercio,categorias,OUTROS PRODUTOS COMERCIALIZADOS_TOTAL
Comercio,categorias,SUCO DE UVAS
Comercio,categorias,SUCO DE UVAS CONCENTRADO_TOTAL
Comercio,categorias,SUCO DE UVAS_TOTAL
Comercio,categorias,VINHO DE MESA
Comercio,categorias,VINHO DE MESA_TOTAL
Comercio,categorias,VINHO ESPECIAL
Comercio,categorias,VINHO ESPECIAL_TOTAL
Comercio,categorias,VINHO FINO DE MESA
Comercio,categorias,VINHO FINO DE MESA_TOTAL
Comercio,categorias,VINHO FRIZANTE_TOTAL
Comercio,categorias,VINHO ORGÂNICO_TOTAL
Comercio,produtos,"Agrin (fermentado, acetico misto)"
Comercio,produtos,Aguardente de vinho 50°gl
Comercio,produtos,Alcool vinico
Comercio,produtos,Bagaceira (graspa)
Comercio,produtos,Base champenoise champanha
Comercio,produtos,Base charmat champanha
Comercio,produtos,Base espumante moscatel
Comercio,produtos,Bebida de uva
Comercio,produtos,Borra líquida
Comercio,produtos,Borra seca
Comercio,produtos,Branco
Comercio,produtos,Brandy (conhaque)
Comercio,produtos,Cooler
Comercio,produtos,Coquetel com vinho
Comercio,produtos,Destilado de vinho
Comercio,produtos,Espumante
Comercio,produtos,Espumante  Moscatel
Comercio,produtos,Espumante Orgânico
Comercio,produtos,Filtrado doce
Comercio,produtos,Jeropiga
Comercio,produtos,Mistelas
Comercio,produtos,Mosto concentrado
Comercio,produtos,Mosto de uva
Comercio,produtos,Mosto sulfitado
Comercio,produtos,Nectar de uva
Comercio,produtos,Outros produtos
Comercio,produtos,Outros sucos de uvas
Comercio,produtos,Outros vinhos (sem informação detalhada)
Comercio,produtos,Polpa de uva
Comercio,produtos,Preparado líquido para refresco
Comercio,produtos,Refrigerante +50% suco
Comercio,produtos,Rosado
Comercio,produtos,Sangria
Comercio,produtos,Suco Adoçado
Comercio,produtos,Suco Natural Integral
Comercio,produtos,Suco Orgânico
Comercio,produtos,Suco Reprocessado/reconstituido
Comercio,produtos,Tinto
Comercio,produtos,Vinagre balsamico
Comercio,produtos,Vinagre duplo
Comercio,produtos,Vinagre simples
Comercio,produtos,Vinho acetificado
Comercio,produtos,Vinho base para espumantes
Comercio,produtos,Vinho composto
Comercio,produtos,Vinho gaseificado
Comercio,produtos,Vinho leve
Comercio,produtos,Vinho licoroso
Comercio,produtos,nan
Processamento,tipo,American Hybrid
Processamento,tipo,Sem Classificação
Processamento,tipo,Uva de Mesa
Processamento,tipo,Vinífera
Processamento,categorias,BRANCAS
Processamento,categorias,BRANCAS E ROSADAS
Processamento,categorias,BRANCAS E ROSADAS_TOTAL
Processamento,categorias,BRANCAS_TOTAL
Processamento,categorias,Sem classificação_TOTAL
Processamento,categorias,TINTAS
Processamento,categorias,TINTAS_TOTAL
Processamento,cultivar,Alfrocheiro
Processamento,cultivar,Aliatico
Processamento,cultivar,Alicante Bouschet
Processamento,cultivar,Aligote
Processamento,cultivar,Alphonse Lavallee
Processamento,cultivar,Altesse
Processamento,cultivar,Alvarinho
Processamento,cultivar,Ancelota
Processamento,cultivar,Aramon
Processamento,cultivar,Arinarnoa
Processamento,cultivar,Arriloba
Processamento,cultivar,Aspirant Bouschet
Processamento,cultivar,Auxerrois
Processamento,cultivar,BRS Bibiana
Processamento,cultivar,BRS Carmen
Processamento,cultivar,BRS Clara
Processamento,cultivar,BRS Cora
Processamento,cultivar,BRS Lorena
Processamento,cultivar,BRS Magna
Processamento,cultivar,BRS Margot
Processamento,cultivar,BRS Morena
Processamento,cultivar,BRS Núbia
Processamento,cultivar,BRS Rúbea
Processamento,cultivar,BRS Violeta
Processamento,cultivar,BRS Vitória
Processamento,cultivar,Bacarina
Processamento,cultivar,Baco
Processamento,cultivar,Bailey
Processamento,cultivar,Barbera
Processamento,cultivar,Bokay
Processamento,cultivar,Bonarda
Processamento,cultivar,Bordo
Processamento,cultivar,Bourdin (S)
Processamento,cultivar,Burger
Processamento,cultivar,Cabernet Franc
Processamento,cultivar,Cabernet Sauvignon
Processamento,cultivar,Caladoc
Processamento,cultivar,Campanario
Processamento,cultivar,Canaiolo
Processamento,cultivar,Cardinal
Processamento,cultivar,Carignan
Processamento,cultivar,Carmenere
Processamento,cultivar,Castelão
Processamento,cultivar,Champagnon (Champanheta)
Processamento,cultivar,Chardonnay
Processamento,cultivar,Chasselas
Processamento,cultivar,Chenin Blanc
Processamento,cultivar,Cinsaut
Processamento,cultivar,Clairette(1)
Processamento,cultivar,Coleções
Processamento,cultivar,Colombard
Processamento,cultivar,Concord
Processamento,cultivar,Concord clone 30
Processamento,cultivar,Corvina
Processamento,cultivar,Couderc
Processamento,cultivar,Couderc 13
Processamento,cultivar,Croatina
Processamento,cultivar,Cynthiana(1)
Processamento,cultivar,Delaware
Processamento,cultivar,Dolcetto
Processamento,cultivar,Dom Felder
Processamento,cultivar,Dona Zillá
Processamento,cultivar,Durif
Processamento,cultivar,Dut Chess
Processamento,cultivar,Egiodola
Processamento,cultivar,Ekigaina
Processamento,cultivar,Festival (Sugraone)
Processamento,cultivar,Flora
Processamento,cultivar,Franconia
Processamento,cultivar,Freisa
Processamento,cultivar,Gamay Beaujolais
Processamento,cultivar,Gamay St Romain
Processamento,cultivar,Garganega
Processamento,cultivar,Gewurztraminer
Processamento,cultivar,Goethe
Processamento,cultivar,Golden Queen
Processamento,cultivar,Gouveio
Processamento,cultivar,Grand Noir
Processamento,cultivar,Grenache
Processamento,cultivar,Gros Manseng
Processamento,cultivar,Herbemont
Processamento,cultivar,IAC
Processamento,cultivar,IAC 138022
Processamento,cultivar,Isabel
Processamento,cultivar,Isabel Precoce
Processamento,cultivar,Italia
Processamento,cultivar,Italia (Pirovano 65) (PE)
Processamento,cultivar,Jacquez
Processamento,cultivar,Jaen
Processamento,cultivar,Juliana
Processamento,cultivar,Kyoko
Processamento,cultivar,Lagrein
Processamento,cultivar,Lambrusco
Processamento,cultivar,Landot
Processamento,cultivar,Maccabeo
Processamento,cultivar,Malbec
Processamento,cultivar,Malvasia
Processamento,cultivar,Malvasia Amarela
Processamento,cultivar,Malvasia Bianca
Processamento,cultivar,Malvasia Chianti
Processamento,cultivar,Malvasia Istriana
Processamento,cultivar,Malvasia Verde
Processamento,cultivar,Malvasia di Candia
Processamento,cultivar,Marselan
Processamento,cultivar,Martha
Processamento,cultivar,Marzemina
Processamento,cultivar,Merlot
Processamento,cultivar,Mistura de uvas americanas
Processamento,cultivar,Mistura de uvas americanas tinto
Processamento,cultivar,Mistura de uvas viníferas branco
Processamento,cultivar,Mistura de uvas viníferas rosado
Processamento,cultivar,Mistura de uvas viníferas tinto
Processamento,cultivar,Molinera
Processamento,cultivar,Montepulciano
Processamento,cultivar,Moscato Bailey
Processamento,cultivar,Moscato Bianco R2
Processamento,cultivar,Moscato Branco
Processamento,cultivar,Moscato Canelli
Processamento,cultivar,Moscato Embrapa
Processamento,cultivar,Moscato Giallo
Processamento,cultivar,Moscato Nazareno
Processamento,cultivar,Moscato Rosado
Processamento,cultivar,Moscato de Alexandria
Processamento,cultivar,Moscato de Hamburgo
Processamento,cultivar,Muller Thurgau
Processamento,cultivar,Muscadelle
Processamento,cultivar,Muscat à Petits Grains
Processamento,cultivar,Napa Gamay
Processamento,cultivar,Nebbiolo
Processamento,cultivar,Niagara
Processamento,cultivar,Niagara Branca
Processamento,cultivar,Niagara Rosada
Processamento,cultivar,Oberlin
Processamento,cultivar,Ora
Processamento,cultivar,Othello
Processamento,cultivar,Outras(2)
Processamento,cultivar,Outras(3)
Processamento,cultivar,Outras1
Processamento,cultivar,Paco
Processamento,cultivar,Palomino
Processamento,cultivar,Patricia
Processamento,cultivar,Patrícia
Processamento,cultivar,Perlona
Processamento,cultivar,Petit Manseng
Processamento,cultivar,Petit Verdot
Processamento,cultivar,Petite Sirah
Processamento,cultivar,Peverella
Processamento,cultivar,Pinot Blanc
Processamento,cultivar,Pinot Gris
Processamento,cultivar,Pinot Noir
Processamento,cultivar,Pinot Saint George
Processamento,cultivar,Pinotage
Processamento,cultivar,Piriquita
Processamento,cultivar,Poloske
Processamento,cultivar,Primitivo
Processamento,cultivar,Prosecco
Processamento,cultivar,Rebo
Processamento,cultivar,Red Veltliner
Processamento,cultivar,Refosco
Processamento,cultivar,Riesling Italico
Processamento,cultivar,Riesling Renano
Processamento,cultivar,Rondinella
Processamento,cultivar,"Rubi (Itália, Itália Ro)"
Processamento,cultivar,Ruby Cabernet
Processamento,cultivar,Sangiovese
Processamento,cultivar,Saperavi
