Categoria,Produto,Quantidade (L.),Total_Categoria,Ano
VINHO DE MESA_TOTAL,,0.0,98327606.0,1970
VINHO DE MESA,Tinto,83300735.0,0.0,1970
VINHO DE MESA,Rosado,107681.0,0.0,1970
VINHO DE MESA,Branco,14919190.0,0.0,1970
VINHO FINO DE MESA_TOTAL,,0.0,4430629.0,1970
VINHO FINO DE MESA,Tinto,435354.0,0.0,1970
VINHO FINO DE MESA,Rosado,183234.0,0.0,1970
VINHO FINO DE MESA,Branco,3812041.0,0.0,1970
VINHO FRIZANTE_TOTAL,,0.0,466480.0,1970
VINHO ORGÂNICO_TOTAL,,0.0,0.0,1970
VINHO ESPECIAL_TOTAL,,0.0,7325789.0,1970
VINHO ESPECIAL,Tinto,4730346.0,0.0,1970
VINHO ESPECIAL,Rosado,1229564.0,0.0,1970
VINHO ESPECIAL,Branco,1365879.0,0.0,1970
ESPUMANTES_TOTAL,,0.0,2743678.0,1970
ESPUMANTES,Espumante  Moscatel,0.0,0.0,1970
ESPUMANTES,Espumante,0.0,0.0,1970
ESPUMANTES,Espumante Orgânico,0.0,0.0,1970
SUCO DE UVAS_TOTAL,,0.0,2626855.0,1970
SUCO DE UVAS,Suco Natural Integral,0.0,0.0,1970
SUCO DE UVAS,Suco Adoçado,0.0,0.0,1970
SUCO DE UVAS,Suco Reprocessado/reconstituido,0.0,0.0,1970
SUCO DE UVAS,Suco Orgânico,0.0,0.0,1970
SUCO DE UVAS,Outros sucos de uvas,0.0,0.0,1970
SUCO DE UVAS CONCENTRADO_TOTAL,,0.0,0.0,1970
OUTROS PRODUTOS COMERCIALIZADOS_TOTAL,,0.0,19844550.0,1970
OUTROS PRODUTOS COMERCIALIZADOS,Outros vinhos (sem informação detalhada),0.0,0.0,1970
OUTROS PRODUTOS COMERCIALIZADOS,"Agrin (fermentado, acetico misto)",0.0,0.0,1970
OUTROS PRODUTOS COMERCIALIZADOS,Aguardente de vinho 50°gl,0.0,0.0,1970
OUTROS PRODUTOS COMERCIALIZADOS,Alcool vinico,0.0,0.0,1970
OUTROS PRODUTOS COMERCIALIZADOS,Bagaceira (graspa),1192987.0,0.0,1970
OUTROS PRODUTOS COMERCIALIZADOS,Base champenoise champanha,0.0,0.0,1970
OUTROS PRODUTOS COMERCIALIZADOS,Base charmat champanha,0.0,0.0,1970
OUTROS PRODUTOS COMERCIALIZADOS,Base espumante moscatel,0.0,0.0,1970
OUTROS PRODUTOS COMERCIALIZADOS,Bebida de uva,0.0,0.0,1970
OUTROS PRODUTOS COMERCIALIZADOS,Borra líquida,0.0,0.0,1970
