Países,Quantidade (KG),Valor (US$),Ano
Africa do Sul,0.0,0.0,1970
Alemanha,0.0,0.0,1970
Argentina,4980.0,3836.0,1970
Austrália,0.0,0.0,1970
Áustria,0.0,0.0,1970
Bermudas,0.0,0.0,1970
Bahamas,0.0,0.0,1970
Bélgica,0.0,0.0,1970
Brasil,0.0,0.0,1970
Bulgária,0.0,0.0,1970
Canada,0.0,0.0,1970
Chile,0.0,0.0,1970
Croácia,0.0,0.0,1970
Cuba,0.0,0.0,1970
Emirados Árabes Unidos,0.0,0.0,1970
Eslovênia,0.0,0.0,1970
Espanha,12981.0,8568.0,1970
Estados Unidos,0.0,0.0,1970
França,18458.0,45798.0,1970
Geórgia,0.0,0.0,1970
Granada,0.0,0.0,1970
Grécia,0.0,0.0,1970
Hong Kong,0.0,0.0,1970
Hungria,0.0,0.0,1970
Indonésia,0.0,0.0,1970
Irlanda,0.0,0.0,1970
Israel,0.0,0.0,1970
Itália,0.0,0.0,1970
Luxemburgo,0.0,0.0,1970
México,0.0,0.0,1970
Moldávia,0.0,0.0,1970
Nova Zelândia,0.0,0.0,1970
Países Baixos,0.0,0.0,1970
Panamá,0.0,0.0,1970
Peru,0.0,0.0,1970
Portugal,1603.0,2240.0,1970
Reino Unido,0.0,0.0,1970
Romênia,0.0,0.0,1970
Suíça,0.0,0.0,1970
Tunísia,0.0,0.0,1970
Ucrânia,0.0,0.0,1970
Uruguai,0.0,0.0,1970
Não consta na tabela,0.0,0.0,1970
Não declarados,0.0,0.0,1970
Outros,291.0,1859.0,1970
Africa do Sul,0.0,0.0,1971
Alemanha,25.0,36.0,1971
Argentina,8811.0,7543.0,1971
Austrália,0.0,0.0,1971
Áustria,0.0,0.0,1971
Bermudas,0.0,0.0,1971
Bahamas,0.0,0.0,1971
Bélgica,0.0,0.0,1971
Brasil,0.0,0.0,1971
Bulgária,0.0,0.0,1971
Canada,0.0,0.0,1971
Chile,0.0,0.0,1971
Croácia,0.0,0.0,1971
Cuba,0.0,0.0,1971
Emirados Árabes Unidos,0.0,0.0,1971
Eslovênia,0.0,0.0,1971
Espanha,7865.0,5230.0,1971
Estados Unidos,0.0,0.0,1971
França,26523.0,72645.0,1971
Geórgia,0.0,0.0,1971
Granada,0.0,0.0,1971
Grécia,0.0,0.0,1971
Hong Kong,0.0,0.0,1971
Hungria,0.0,0.0,1971
Indonésia,0.0,0.0,1971
Irlanda,0.0,0.0,1971
Israel,360.0,349.0,1971
Itália,554.0,485.0,1971
Luxemburgo,0.0,0.0,1971
México,0.0,0.0,1971
Moldávia,0.0,0.0,1971
Nova Zelândia,0.0,0.0,1971
Países Baixos,0.0,0.0,1971
Panamá,0.0,0.0,1971
Peru,0.0,0.0,1971
Portugal,2054.0,3090.0,1971
Reino Unido,0.0,0.0,1971
Romênia,0.0,0.0,1971
Suíça,0.0,0.0,1971
Tunísia,0.0,0.0,1971
Ucrânia,0.0,0.0,1971
Uruguai,0.0,0.0,1971
Não consta na tabela,0.0,0.0,1971
Não declarados,0.0,0.0,1971
Outros,3772.0,2358.0,1971
Africa do Sul,0.0,0.0,1972
Alemanha,2864.0,2479.0,1972
Argentina,35301.0,26909.0,1972
Austrália,0.0,0.0,1972
Áustria,0.0,0.0,1972
Bermudas,0.0,0.0,1972
Bahamas,0.0,0.0,1972
Bélgica,0.0,0.0,1972
Brasil,0.0,0.0,1972
Bulgária,0.0,0.0,1972
Canada,0.0,0.0,1972
Chile,201.0,192.0,1972
Croácia,0.0,0.0,1972
Cuba,0.0,0.0,1972
Emirados Árabes Unidos,0.0,0.0,1972
Eslovênia,0.0,0.0,1972
Espanha,27461.0,20026.0,1972
Estados Unidos,0.0,0.0,1972
França,35899.0,97186.0,1972
Geórgia,0.0,0.0,1972
Granada,0.0,0.0,1972
Grécia,0.0,0.0,1972
Hong Kong,0.0,0.0,1972
Hungria,0.0,0.0,1972
Indonésia,0.0,0.0,1972
Irlanda,0.0,0.0,1972
Israel,0.0,0.0,1972
Itália,5054.0,3328.0,1972
Luxemburgo,0.0,0.0,1972
México,0.0,0.0,1972
Moldávia,0.0,0.0,1972
Nova Zelândia,0.0,0.0,1972
Países Baixos,0.0,0.0,1972
Panamá,0.0,0.0,1972
Peru,0.0,0.0,1972
Portugal,12768.0,18479.0,1972
Reino Unido,0.0,0.0,1972
Romênia,0.0,0.0,1972
Suíça,0.0,0.0,1972
Tunísia,0.0,0.0,1972
Ucrânia,0.0,0.0,1972
Uruguai,0.0,0.0,1972
Não consta na tabela,0.0,0.0,1972
Não declarados,0.0,0.0,1972
Outros,576.0,454.0,1972
Africa do Sul,0.0,0.0,1973
Alemanha,2900.0,3130.0,1973
Argentina,39208.0,20230.0,1973
Austrália,0.0,0.0,1973
Áustria,0.0,0.0,1973
Bermudas,0.0,0.0,1973
Bahamas,0.0,0.0,1973
Bélgica,0.0,0.0,1973
Brasil,0.0,0.0,1973
Bulgária,0.0,0.0,1973
Canada,0.0,0.0,1973
Chile,328.0,133.0,1973
Croácia,0.0,0.0,1973
Cuba,0.0,0.0,1973
Emirados Árabes Unidos,0.0,0.0,1973
Eslovênia,0.0,0.0,1973
Espanha,40172.0,28895.0,1973
Estados Unidos,0.0,0.0,1973
França,49453.0,186096.0,1973
Geórgia,0.0,0.0,1973
Granada,0.0,0.0,1973
Grécia,0.0,0.0,1973
Hong Kong,0.0,0.0,1973
Hungria,0.0,0.0,1973
Indonésia,0.0,0.0,1973
Irlanda,0.0,0.0,1973
Israel,27.0,36.0,1973
Itália,5854.0,5395.0,1973
Luxemburgo,0.0,0.0,1973
México,0.0,0.0,1973
Moldávia,0.0,0.0,1973
Nova Zelândia,0.0,0.0,1973
Países Baixos,0.0,0.0,1973
Panamá,0.0,0.0,1973
Peru,0.0,0.0,1973
Portugal,30074.0,39670.0,1973
Reino Unido,0.0,0.0,1973
Romênia,0.0,0.0,1973
Suíça,0.0,0.0,1973
Tunísia,0.0,0.0,1973
Ucrânia,0.0,0.0,1973
Uruguai,0.0,0.0,1973
Não consta na tabela,0.0,0.0,1973
Não declarados,0.0,0.0,1973
Outros,24.0,10054.0,1973
Africa do Sul,0.0,0.0,1974
Alemanha,1667.0,2128.0,1974
Argentina,2831.0,3035.0,1974
Austrália,0.0,0.0,1974
Áustria,0.0,0.0,1974
Bermudas,0.0,0.0,1974
Bahamas,0.0,0.0,1974
Bélgica,0.0,0.0,1974
Brasil,0.0,0.0,1974
Bulgária,0.0,0.0,1974
Canada,0.0,0.0,1974
Chile,180.0,340.0,1974
Croácia,0.0,0.0,1974
Cuba,0.0,0.0,1974
Emirados Árabes Unidos,0.0,0.0,1974
Eslovênia,0.0,0.0,1974
Espanha,41971.0,36350.0,1974
Estados Unidos,0.0,0.0,1974
França,83575.0,335930.0,1974
Geórgia,0.0,0.0,1974
Granada,0.0,0.0,1974
Grécia,0.0,0.0,1974
Hong Kong,0.0,0.0,1974
Hungria,0.0,0.0,1974
Indonésia,0.0,0.0,1974
Irlanda,0.0,0.0,1974
Israel,0.0,0.0,1974
Itália,24637.0,24784.0,1974
Luxemburgo,0.0,0.0,1974
México,0.0,0.0,1974
Moldávia,0.0,0.0,1974
Nova Zelândia,0.0,0.0,1974
Países Baixos,0.0,0.0,1974
Panamá,0.0,0.0,1974
Peru,0.0,0.0,1974
Portugal,15886.0,29585.0,1974
Reino Unido,0.0,0.0,1974
Romênia,0.0,0.0,1974
Suíça,0.0,0.0,1974
Tunísia,0.0,0.0,1974
Ucrânia,0.0,0.0,1974
Uruguai,0.0,0.0,1974
Não consta na tabela,0.0,0.0,1974
Não declarados,0.0,0.0,1974
Outros,1801.0,2999.0,1974
Africa do Sul,0.0,0.0,1975
Alemanha,355.0,937.0,1975
Argentina,11120.0,5732.0,1975
Austrália,0.0,0.0,1975
Áustria,0.0,0.0,1975
Bermudas,0.0,0.0,1975
Bahamas,0.0,0.0,1975
Bélgica,0.0,0.0,1975
Brasil,0.0,0.0,1975
Bulgária,0.0,0.0,1975
Canada,0.0,0.0,1975
Chile,672.0,1140.0,1975
Croácia,0.0,0.0,1975
Cuba,0.0,0.0,1975
Emirados Árabes Unidos,0.0,0.0,1975
Eslovênia,0.0,0.0,1975
Espanha,54863.0,51166.0,1975
Estados Unidos,0.0,0.0,1975
França,17770.0,80649.0,1975
Geórgia,0.0,0.0,1975
Granada,0.0,0.0,1975
Grécia,0.0,0.0,1975
Hong Kong,0.0,0.0,1975
Hungria,0.0,0.0,1975
Indonésia,0.0,0.0,1975
Irlanda,0.0,0.0,1975
Israel,0.0,0.0,1975
Itália,22782.0,19240.0,1975
Luxemburgo,0.0,0.0,1975
México,0.0,0.0,1975
Moldávia,0.0,0.0,1975
Nova Zelândia,0.0,0.0,1975
Países Baixos,0.0,0.0,1975
Panamá,0.0,0.0,1975
Peru,0.0,0.0,1975
Portugal,2147.0,3798.0,1975
Reino Unido,0.0,0.0,1975
Romênia,0.0,0.0,1975
Suíça,0.0,0.0,1975
Tunísia,0.0,0.0,1975
Ucrânia,0.0,0.0,1975
Uruguai,0.0,0.0,1975
Não consta na tabela,0.0,0.0,1975
Não declarados,0.0,0.0,1975
Outros,13096.0,17961.0,1975
Africa do Sul,0.0,0.0,1976
Alemanha,1947.0,1880.0,1976
Argentina,0.0,0.0,1976
Austrália,0.0,0.0,1976
Áustria,0.0,0.0,1976
Bermudas,0.0,0.0,1976
Bahamas,0.0,0.0,1976
Bélgica,0.0,0.0,1976
Brasil,0.0,0.0,1976
Bulgária,0.0,0.0,1976
Canada,0.0,0.0,1976
Chile,10980.0,15660.0,1976
Croácia,0.0,0.0,1976
Cuba,0.0,0.0,1976
Emirados Árabes Unidos,0.0,0.0,1976
Eslovênia,0.0,0.0,1976
Espanha,17299.0,19252.0,1976
Estados Unidos,0.0,0.0,1976
França,16295.0,61873.0,1976
Geórgia,0.0,0.0,1976
Granada,0.0,0.0,1976
Grécia,0.0,0.0,1976
Hong Kong,0.0,0.0,1976
Hungria,0.0,0.0,1976
Indonésia,0.0,0.0,1976
Irlanda,0.0,0.0,1976
Israel,0.0,0.0,1976
Itália,11917.0,9896.0,1976
Luxemburgo,0.0,0.0,1976
México,0.0,0.0,1976
Moldávia,0.0,0.0,1976
Nova Zelândia,0.0,0.0,1976
Países Baixos,0.0,0.0,1976
Panamá,0.0,0.0,1976
Peru,0.0,0.0,1976
Portugal,3972.0,7084.0,1976
Reino Unido,0.0,0.0,1976
Romênia,0.0,0.0,1976
Suíça,0.0,0.0,1976
Tunísia,0.0,0.0,1976
Ucrânia,0.0,0.0,1976
Uruguai,0.0,0.0,1976
Não consta na tabela,0.0,0.0,1976
Não declarados,0.0,0.0,1976
Outros,20.0,118.0,1976
Africa do Sul,0.0,0.0,1977
Alemanha,840.0,982.0,1977
Argentina,0.0,0.0,1977
