Países,Quantidade (KG),Valor (US$),Ano
Africa do Sul,0.0,0.0,1970
Alemanha,0.0,0.0,1970
Argentina,0.0,0.0,1970
Austria,0.0,0.0,1970
Canadá,0.0,0.0,1970
"Coreia do Sul, República",0.0,0.0,1970
"Coreia do Norte, República",0.0,0.0,1970
Chile,0.0,0.0,1970
China,0.0,0.0,1970
Dinamarca,0.0,0.0,1970
Espanha,0.0,0.0,1970
Estados Unidos,0.0,0.0,1970
França,0.0,0.0,1970
Guiana,0.0,0.0,1970
Israel,0.0,0.0,1970
itália,0.0,0.0,1970
Japão,0.0,0.0,1970
Líbano,0.0,0.0,1970
México,0.0,0.0,1970
Países Baixos,0.0,0.0,1970
Panamá,0.0,0.0,1970
Peru,0.0,0.0,1970
Portugal,0.0,0.0,1970
Reino Unido,0.0,0.0,1970
Taiwan,0.0,0.0,1970
Turquia,0.0,0.0,1970
Uruguai,0.0,0.0,1970
Venezuela,0.0,0.0,1970
Outros,0.0,0.0,1970
Africa do Sul,0.0,0.0,1971
Alemanha,0.0,0.0,1971
Argentina,0.0,0.0,1971
Austria,0.0,0.0,1971
Canadá,0.0,0.0,1971
"Coreia do Sul, República",0.0,0.0,1971
"Coreia do Norte, República",0.0,0.0,1971
Chile,0.0,0.0,1971
China,0.0,0.0,1971
Dinamarca,34.0,16.0,1971
Espanha,0.0,0.0,1971
Estados Unidos,210.0,777.0,1971
França,81.0,48.0,1971
Guiana,0.0,0.0,1971
Israel,0.0,0.0,1971
itália,0.0,0.0,1971
Japão,0.0,0.0,1971
Líbano,0.0,0.0,1971
México,0.0,0.0,1971
Países Baixos,0.0,0.0,1971
Panamá,0.0,0.0,1971
Peru,0.0,0.0,1971
Portugal,160.0,109.0,1971
Reino Unido,0.0,0.0,1971
Taiwan,0.0,0.0,1971
Turquia,0.0,0.0,1971
Uruguai,0.0,0.0,1971
Venezuela,0.0,0.0,1971
Outros,0.0,0.0,1971
Africa do Sul,0.0,0.0,1972
Alemanha,0.0,0.0,1972
Argentina,0.0,0.0,1972
Austria,0.0,0.0,1972
Canadá,0.0,0.0,1972
"Coreia do Sul, República",0.0,0.0,1972
"Coreia do Norte, República",0.0,0.0,1972
Chile,0.0,0.0,1972
China,0.0,0.0,1972
Dinamarca,20.0,8.0,1972
Espanha,0.0,0.0,1972
Estados Unidos,0.0,0.0,1972
França,36.0,32.0,1972
Guiana,0.0,0.0,1972
Israel,0.0,0.0,1972
itália,0.0,0.0,1972
Japão,0.0,0.0,1972
Líbano,0.0,0.0,1972
México,0.0,0.0,1972
Países Baixos,0.0,0.0,1972
Panamá,0.0,0.0,1972
Peru,0.0,0.0,1972
Portugal,125.0,82.0,1972
Reino Unido,458.0,189.0,1972
Taiwan,0.0,0.0,1972
Turquia,0.0,0.0,1972
Uruguai,0.0,0.0,1972
Venezuela,0.0,0.0,1972
Outros,0.0,0.0,1972
Africa do Sul,0.0,0.0,1973
Alemanha,0.0,0.0,1973
Argentina,3600.0,1350.0,1973
Austria,0.0,0.0,1973
Canadá,0.0,0.0,1973
"Coreia do Sul, República",0.0,0.0,1973
"Coreia do Norte, República",0.0,0.0,1973
Chile,0.0,0.0,1973
China,0.0,0.0,1973
Dinamarca,80.0,38.0,1973
Espanha,0.0,0.0,1973
Estados Unidos,7.0,7.0,1973
França,27.0,36.0,1973
Guiana,35.0,12.0,1973
Israel,0.0,0.0,1973
itália,0.0,0.0,1973
Japão,0.0,0.0,1973
Líbano,0.0,0.0,1973
México,0.0,0.0,1973
Países Baixos,0.0,0.0,1973
Panamá,0.0,0.0,1973
Peru,0.0,0.0,1973
Portugal,1402.0,732.0,1973
Reino Unido,244.0,129.0,1973
Taiwan,0.0,0.0,1973
Turquia,0.0,0.0,1973
Uruguai,0.0,0.0,1973
Venezuela,127.0,185.0,1973
Outros,0.0,0.0,1973
Africa do Sul,0.0,0.0,1974
Alemanha,0.0,0.0,1974
Argentina,10200.0,3500.0,1974
Austria,0.0,0.0,1974
Canadá,0.0,0.0,1974
"Coreia do Sul, República",0.0,0.0,1974
"Coreia do Norte, República",0.0,0.0,1974
Chile,0.0,0.0,1974
China,0.0,0.0,1974
Dinamarca,0.0,0.0,1974
Espanha,0.0,0.0,1974
Estados Unidos,731.0,406.0,1974
França,0.0,0.0,1974
Guiana,0.0,0.0,1974
Israel,18.0,8.0,1974
itália,0.0,0.0,1974
Japão,0.0,0.0,1974
Líbano,0.0,0.0,1974
México,0.0,0.0,1974
Países Baixos,0.0,0.0,1974
Panamá,0.0,0.0,1974
Peru,0.0,0.0,1974
Portugal,0.0,0.0,1974
Reino Unido,0.0,0.0,1974
Taiwan,0.0,0.0,1974
Turquia,0.0,0.0,1974
Uruguai,0.0,0.0,1974
Venezuela,0.0,0.0,1974
Outros,0.0,0.0,1974
Africa do Sul,0.0,0.0,1975
Alemanha,5.0,1.0,1975
Argentina,6.0,5.0,1975
Austria,0.0,0.0,1975
Canadá,0.0,0.0,1975
"Coreia do Sul, República",0.0,0.0,1975
"Coreia do Norte, República",0.0,0.0,1975
Chile,0.0,0.0,1975
China,0.0,0.0,1975
Dinamarca,0.0,0.0,1975
Espanha,0.0,0.0,1975
Estados Unidos,3364.0,859.0,1975
França,0.0,0.0,1975
Guiana,0.0,0.0,1975
Israel,225.0,112.0,1975
itália,0.0,0.0,1975
Japão,0.0,0.0,1975
Líbano,0.0,0.0,1975
México,0.0,0.0,1975
Países Baixos,0.0,0.0,1975
Panamá,0.0,0.0,1975
Peru,0.0,0.0,1975
Portugal,0.0,0.0,1975
Reino Unido,0.0,0.0,1975
Taiwan,0.0,0.0,1975
Turquia,0.0,0.0,1975
Uruguai,0.0,0.0,1975
Venezuela,0.0,0.0,1975
Outros,0.0,0.0,1975
Africa do Sul,0.0,0.0,1976
Alemanha,0.0,0.0,1976
Argentina,0.0,0.0,1976
Austria,0.0,0.0,1976
Canadá,0.0,0.0,1976
"Coreia do Sul, República",0.0,0.0,1976
"Coreia do Norte, República",0.0,0.0,1976
Chile,0.0,0.0,1976
China,0.0,0.0,1976
Dinamarca,0.0,0.0,1976
Espanha,0.0,0.0,1976
Estados Unidos,3265.0,742.0,1976
França,0.0,0.0,1976
Guiana,0.0,0.0,1976
Israel,405.0,225.0,1976
itália,0.0,0.0,1976
Japão,0.0,0.0,1976
Líbano,0.0,0.0,1976
México,0.0,0.0,1976
Países Baixos,0.0,0.0,1976
Panamá,0.0,0.0,1976
Peru,0.0,0.0,1976
Portugal,0.0,0.0,1976
Reino Unido,0.0,0.0,1976
Taiwan,0.0,0.0,1976
Turquia,0.0,0.0,1976
Uruguai,15000.0,4500.0,1976
Venezuela,0.0,0.0,1976
Outros,0.0,0.0,1976
Africa do Sul,0.0,0.0,1977
Alemanha,0.0,0.0,1977
Argentina,0.0,0.0,1977
Austria,0.0,0.0,1977
Canadá,0.0,0.0,1977
"Coreia do Sul, República",0.0,0.0,1977
"Coreia do Norte, República",0.0,0.0,1977
Chile,0.0,0.0,1977
China,0.0,0.0,1977
Dinamarca,0.0,0.0,1977
Espanha,0.0,0.0,1977
Estados Unidos,0.0,0.0,1977
França,0.0,0.0,1977
Guiana,0.0,0.0,1977
Israel,0.0,0.0,1977
itália,0.0,0.0,1977
Japão,0.0,0.0,1977
Líbano,0.0,0.0,1977
México,0.0,0.0,1977
Países Baixos,0.0,0.0,1977
Panamá,0.0,0.0,1977
Peru,0.0,0.0,1977
Portugal,0.0,0.0,1977
Reino Unido,0.0,0.0,1977
Taiwan,0.0,0.0,1977
Turquia,0.0,0.0,1977
Uruguai,0.0,0.0,1977
Venezuela,0.0,0.0,1977
Outros,0.0,0.0,1977
Africa do Sul,0.0,0.0,1978
Alemanha,0.0,0.0,1978
Argentina,2790.0,2850.0,1978
Austria,0.0,0.0,1978
Canadá,0.0,0.0,1978
"Coreia do Sul, República",0.0,0.0,1978
"Coreia do Norte, República",0.0,0.0,1978
Chile,0.0,0.0,1978
China,0.0,0.0,1978
Dinamarca,0.0,0.0,1978
Espanha,0.0,0.0,1978
Estados Unidos,0.0,0.0,1978
França,0.0,0.0,1978
Guiana,0.0,0.0,1978
Israel,0.0,0.0,1978
itália,0.0,0.0,1978
Japão,0.0,0.0,1978
Líbano,0.0,0.0,1978
México,0.0,0.0,1978
Países Baixos,0.0,0.0,1978
Panamá,0.0,0.0,1978
Peru,0.0,0.0,1978
Portugal,0.0,0.0,1978
Reino Unido,0.0,0.0,1978
Taiwan,0.0,0.0,1978
Turquia,0.0,0.0,1978
Uruguai,0.0,0.0,1978
Venezuela,0.0,0.0,1978
Outros,0.0,0.0,1978
Africa do Sul,0.0,0.0,1979
Alemanha,0.0,0.0,1979
Argentina,0.0,0.0,1979
Austria,0.0,0.0,1979
Canadá,0.0,0.0,1979
"Coreia do Sul, República",0.0,0.0,1979
"Coreia do Norte, República",0.0,0.0,1979
Chile,0.0,0.0,1979
China,0.0,0.0,1979
Dinamarca,49.0,64.0,1979
Espanha,0.0,0.0,1979
Estados Unidos,0.0,0.0,1979
França,0.0,0.0,1979
Guiana,0.0,0.0,1979
Israel,0.0,0.0,1979
itália,0.0,0.0,1979
Japão,0.0,0.0,1979
Líbano,0.0,0.0,1979
México,0.0,0.0,1979
Países Baixos,0.0,0.0,1979
Panamá,0.0,0.0,1979
Peru,0.0,0.0,1979
Portugal,0.0,0.0,1979
Reino Unido,0.0,0.0,1979
Taiwan,0.0,0.0,1979
Turquia,0.0,0.0,1979
Uruguai,0.0,0.0,1979
Venezuela,0.0,0.0,1979
Outros,0.0,0.0,1979
Africa do Sul,0.0,0.0,1980
Alemanha,0.0,0.0,1980
Argentina,0.0,0.0,1980
Austria,0.0,0.0,1980
Canadá,0.0,0.0,1980
"Coreia do Sul, República",0.0,0.0,1980
"Coreia do Norte, República",0.0,0.0,1980
Chile,0.0,0.0,1980
China,0.0,0.0,1980
Dinamarca,0.0,0.0,1980
Espanha,0.0,0.0,1980
Estados Unidos,0.0,0.0,1980
França,0.0,0.0,1980
Guiana,0.0,0.0,1980
Israel,0.0,0.0,1980
itália,0.0,0.0,1980
Japão,0.0,0.0,1980
Líbano,0.0,0.0,1980
México,0.0,0.0,1980
Países Baixos,0.0,0.0,1980
Panamá,0.0,0.0,1980
Peru,0.0,0.0,1980
Portugal,0.0,0.0,1980
Reino Unido,0.0,0.0,1980
Taiwan,0.0,0.0,1980
Turquia,0.0,0.0,1980
Uruguai,0.0,0.0,1980
Venezuela,0.0,0.0,1980
Outros,0.0,0.0,1980
Africa do Sul,0.0,0.0,1981
Alemanha,0.0,0.0,1981
Argentina,0.0,0.0,1981
Austria,0.0,0.0,1981
Canadá,0.0,0.0,1981
"Coreia do Sul, República",0.0,0.0,1981
"Coreia do Norte, República",0.0,0.0,1981
Chile,0.0,0.0,1981
China,0.0,0.0,1981
