Países,Quantidade (KG),Valor (US$),Ano
Argélia,0.0,0.0,1970
Argentina,2412831.0,782408.0,1970
Brasil,0.0,0.0,1970
Chile,1557316.0,409704.0,1970
Colômbia,0.0,0.0,1970
Egito,0.0,0.0,1970
Espanha,1231522.0,404105.0,1970
Estados Unidos,94669.0,39610.0,1970
Grécia,126248.0,25488.0,1970
Itália,0.0,0.0,1970
México,23240.0,11024.0,1970
Peru,0.0,0.0,1970
Paraguai,0.0,0.0,1970
Portugal,28150.0,13872.0,1970
Panamá,0.0,0.0,1970
Reino Unido,0.0,0.0,1970
Uruguai,0.0,0.0,1970
Venezuela,0.0,0.0,1970
Não consta na tabela,0.0,0.0,1970
Outros,0.0,0.0,1970
Argélia,0.0,0.0,1971
Argentina,1805310.0,684328.0,1971
Brasil,0.0,0.0,1971
Chile,1485897.0,381705.0,1971
Colômbia,3312.0,2168.0,1971
Egito,0.0,0.0,1971
Espanha,1371457.0,433924.0,1971
Estados Unidos,12403.0,5760.0,1971
Grécia,74700.0,14940.0,1971
Itália,9960.0,1195.0,1971
México,12000.0,4800.0,1971
Peru,0.0,0.0,1971
Paraguai,0.0,0.0,1971
Portugal,800.0,438.0,1971
Panamá,0.0,0.0,1971
Reino Unido,0.0,0.0,1971
Uruguai,0.0,0.0,1971
Venezuela,400.0,511.0,1971
Não consta na tabela,0.0,0.0,1971
Outros,0.0,0.0,1971
Argélia,0.0,0.0,1972
Argentina,1965010.0,779841.0,1972
Brasil,0.0,0.0,1972
Chile,1680664.0,578569.0,1972
Colômbia,0.0,0.0,1972
Egito,0.0,0.0,1972
Espanha,617898.0,209416.0,1972
Estados Unidos,17250.0,8980.0,1972
Grécia,58500.0,13009.0,1972
Itália,0.0,0.0,1972
México,0.0,0.0,1972
Peru,0.0,0.0,1972
Paraguai,0.0,0.0,1972
Portugal,1000.0,2069.0,1972
Panamá,50.0,51.0,1972
Reino Unido,120.0,85.0,1972
Uruguai,0.0,0.0,1972
Venezuela,3357.0,7565.0,1972
Não consta na tabela,0.0,0.0,1972
Outros,0.0,0.0,1972
Argélia,0.0,0.0,1973
Argentina,396840.0,253061.0,1973
Brasil,0.0,0.0,1973
Chile,2472710.0,958295.0,1973
Colômbia,63645.0,37098.0,1973
Egito,0.0,0.0,1973
Espanha,447401.0,199420.0,1973
Estados Unidos,119095.0,79765.0,1973
Grécia,90000.0,35000.0,1973
Itália,0.0,0.0,1973
México,2500.0,1500.0,1973
Peru,0.0,0.0,1973
Paraguai,0.0,0.0,1973
Portugal,0.0,0.0,1973
Panamá,0.0,0.0,1973
Reino Unido,0.0,0.0,1973
Uruguai,6300.0,3020.0,1973
Venezuela,4672.0,9185.0,1973
Não consta na tabela,0.0,0.0,1973
Outros,0.0,0.0,1973
Argélia,0.0,0.0,1974
Argentina,1179250.0,591328.0,1974
Brasil,0.0,0.0,1974
Chile,2154407.0,958383.0,1974
Colômbia,131888.0,85894.0,1974
Egito,0.0,0.0,1974
Espanha,440559.0,210385.0,1974
Estados Unidos,59064.0,40145.0,1974
Grécia,0.0,0.0,1974
Itália,0.0,0.0,1974
México,0.0,0.0,1974
Peru,0.0,0.0,1974
Paraguai,0.0,0.0,1974
Portugal,0.0,0.0,1974
Panamá,0.0,0.0,1974
Reino Unido,0.0,0.0,1974
Uruguai,0.0,0.0,1974
