Países,Quantidade (KG),Valor (US$),Ano
Africa do Sul,0.0,0.0,1970
Alemanha,52297.0,30498.0,1970
Argélia,0.0,0.0,1970
Arábia Saudita,0.0,0.0,1970
Argentina,19525.0,12260.0,1970
Armênia,0.0,0.0,1970
Austrália,0.0,0.0,1970
Áustria,1328.0,707.0,1970
Bermudas,0.0,0.0,1970
Bélgica,0.0,0.0,1970
Bolívia,0.0,0.0,1970
Bósnia-Herzegovina,0.0,0.0,1970
Brasil,0.0,0.0,1970
Bulgária,0.0,0.0,1970
Canada,0.0,0.0,1970
Chile,162370.0,101819.0,1970
China,0.0,0.0,1970
"Coreia do Sul, República",0.0,0.0,1970
Croácia,0.0,0.0,1970
Cuba,0.0,0.0,1970
Emirados Árabes Unidos,0.0,0.0,1970
Eslovênia,0.0,0.0,1970
Eslováquia,0.0,0.0,1970
Espanha,261126.0,90159.0,1970
Estados Unidos,0.0,0.0,1970
França,91544.0,78135.0,1970
Geórgia,0.0,0.0,1970
"Geórgia do Sul e Sandwich do Sul, Ilhas",0.0,0.0,1970
Grécia,0.0,0.0,1970
Hong Kong,0.0,0.0,1970
Hungria,0.0,0.0,1970
Indonésia,0.0,0.0,1970
Irlanda,0.0,0.0,1970
Israel,0.0,0.0,1970
Itália,58802.0,32376.0,1970
Japão,0.0,0.0,1970
Iugoslávia,702.0,326.0,1970
Líbano,0.0,0.0,1970
Luxemburgo,0.0,0.0,1970
Macedônia,0.0,0.0,1970
Marrocos,0.0,0.0,1970
México,0.0,0.0,1970
Moldávia,0.0,0.0,1970
Montenegro,0.0,0.0,1970
Noruega,0.0,0.0,1970
Nova Zelândia,0.0,0.0,1970
Países Baixos (Holanda),0.0,0.0,1970
Panamá,0.0,0.0,1970
Peru,0.0,0.0,1970
Porto Rico,0.0,0.0,1970
Portugal,785609.0,531480.0,1970
Reino Unido,0.0,0.0,1970
Republica Dominicana,0.0,0.0,1970
Romênia,0.0,0.0,1970
Rússia,0.0,0.0,1970
San Marino,0.0,0.0,1970
Sérvia,0.0,0.0,1970
Síria,0.0,0.0,1970
Suazilândia,0.0,0.0,1970
Suíça,0.0,0.0,1970
"Tcheca, República",0.0,0.0,1970
Tunísia,0.0,0.0,1970
Turquia,0.0,0.0,1970
Ucrânia,0.0,0.0,1970
Uruguai,5767.0,1871.0,1970
Não consta na tabela,0.0,0.0,1970
Não declarados,0.0,0.0,1970
Outros,5508.0,4255.0,1970
Africa do Sul,0.0,0.0,1971
Alemanha,34606.0,26027.0,1971
Argélia,0.0,0.0,1971
Arábia Saudita,0.0,0.0,1971
Argentina,24942.0,15022.0,1971
Armênia,0.0,0.0,1971
Austrália,0.0,0.0,1971
Áustria,0.0,0.0,1971
Bermudas,0.0,0.0,1971
Bélgica,0.0,0.0,1971
Bolívia,0.0,0.0,1971
Bósnia-Herzegovina,0.0,0.0,1971
Brasil,0.0,0.0,1971
Bulgária,0.0,0.0,1971
Canada,0.0,0.0,1971
Chile,74406.0,52240.0,1971
China,0.0,0.0,1971
"Coreia do Sul, República",0.0,0.0,1971
Croácia,0.0,0.0,1971
Cuba,0.0,0.0,1971
Emirados Árabes Unidos,0.0,0.0,1971
Eslovênia,0.0,0.0,1971
Eslováquia,0.0,0.0,1971
Espanha,140507.0,50191.0,1971
Estados Unidos,915.0,190.0,1971
França,88714.0,72978.0,1971
Geórgia,0.0,0.0,1971
"Geórgia do Sul e Sandwich do Sul, Ilhas",0.0,0.0,1971
Grécia,0.0,0.0,1971
Hong Kong,0.0,0.0,1971
Hungria,0.0,0.0,1971
Indonésia,0.0,0.0,1971
Irlanda,0.0,0.0,1971
Israel,0.0,0.0,1971
Itália,108409.0,56377.0,1971
Japão,0.0,0.0,1971
Iugoslávia,640.0,375.0,1971
Líbano,0.0,0.0,1971
Luxemburgo,0.0,0.0,1971
Macedônia,0.0,0.0,1971
Marrocos,0.0,0.0,1971
México,0.0,0.0,1971
Moldávia,0.0,0.0,1971
Montenegro,0.0,0.0,1971
Noruega,0.0,0.0,1971
Nova Zelândia,0.0,0.0,1971
Países Baixos (Holanda),0.0,0.0,1971
Panamá,0.0,0.0,1971
Peru,0.0,0.0,1971
Porto Rico,0.0,0.0,1971
Portugal,897310.0,620790.0,1971
Reino Unido,0.0,0.0,1971
Republica Dominicana,0.0,0.0,1971
Romênia,0.0,0.0,1971
Rússia,0.0,0.0,1971
San Marino,0.0,0.0,1971
Sérvia,0.0,0.0,1971
Síria,0.0,0.0,1971
Suazilândia,0.0,0.0,1971
Suíça,0.0,0.0,1971
"Tcheca, República",0.0,0.0,1971
Tunísia,0.0,0.0,1971
Turquia,0.0,0.0,1971
Ucrânia,0.0,0.0,1971
Uruguai,1917.0,636.0,1971
Não consta na tabela,0.0,0.0,1971
Não declarados,0.0,0.0,1971
Outros,77789.0,42028.0,1971
