Categoria,Cultivar,Quantidade (KG),Total_Categoria,Ano
TINTAS_TOTAL,,0.0,284285642.0,1970
TINTAS,Bacarina,82899.0,0.0,1970
TINTAS,Bailey,0.0,0.0,1970
TINTAS,Bordo,7242197.0,0.0,1970
TINTAS,Bourdin (S),0.0,0.0,1970
TINTAS,BRS Carmen,0.0,0.0,1970
TINTAS,BRS Cora,0.0,0.0,1970
TINTAS,BRS Magna,0.0,0.0,1970
TINTAS,BRS Margot,0.0,0.0,1970
TINTAS,BRS Morena,0.0,0.0,1970
TINTAS,BRS Núbia,0.0,0.0,1970
TINTAS,BRS Rúbea,0.0,0.0,1970
TINTAS,BRS Violeta,0.0,0.0,1970
TINTAS,BRS Vitória,0.0,0.0,1970
TINTAS,Champagnon (Champanheta),0.0,0.0,1970
TINTAS,Coleções,0.0,0.0,1970
TINTAS,Concord,5407624.0,0.0,1970
TINTAS,Concord clone 30,0.0,0.0,1970
TINTAS,Couderc,2713692.0,0.0,1970
TINTAS,Cynthiana(1),568653.0,0.0,1970
TINTAS,Herbemont,62053013.0,0.0,1970
TINTAS,IAC 138022,0.0,0.0,1970
TINTAS,Isabel,193840398.0,0.0,1970
TINTAS,Isabel Precoce,0.0,0.0,1970
TINTAS,Jacquez,390593.0,0.0,1970
TINTAS,Kyoko,0.0,0.0,1970
TINTAS,Landot,134384.0,0.0,1970
TINTAS,Mistura de uvas americanas tinto,0.0,0.0,1970
TINTAS,Oberlin,15682.0,0.0,1970
TINTAS,Othello,33013.0,0.0,1970
TINTAS,Paco,0.0,0.0,1970
TINTAS,Patricia,0.0,0.0,1970
TINTAS,Seibel,11803494.0,0.0,1970
TINTAS,Seibel 2 (seibeleto),0.0,0.0,1970
TINTAS,Seyve Willard (Tinta),0.0,0.0,1970
TINTAS,Vênus,0.0,0.0,1970
BRANCAS E ROSADAS_TOTAL,,0.0,985007.0,1970
BRANCAS E ROSADAS,Baco,4647.0,0.0,1970
BRANCAS E ROSADAS,Bokay,0.0,0.0,1970
BRANCAS E ROSADAS,BRS Bibiana,0.0,0.0,1970
BRANCAS E ROSADAS,BRS Clara,0.0,0.0,1970
BRANCAS E ROSADAS,BRS Lorena,0.0,0.0,1970
BRANCAS E ROSADAS,Couderc 13,0.0,0.0,1970
BRANCAS E ROSADAS,Delaware,22705.0,0.0,1970
BRANCAS E ROSADAS,Dona Zillá,0.0,0.0,1970
BRANCAS E ROSADAS,Dut Chess,0.0,0.0,1970
BRANCAS E ROSADAS,Goethe,311458.0,0.0,1970
BRANCAS E ROSADAS,IAC,0.0,0.0,1970
BRANCAS E ROSADAS,Juliana,0.0,0.0,1970
BRANCAS E ROSADAS,Martha,15045.0,0.0,1970
BRANCAS E ROSADAS,Mistura de uvas americanas,0.0,0.0,1970
BRANCAS E ROSADAS,Moscato Embrapa,0.0,0.0,1970
BRANCAS E ROSADAS,Niagara,631152.0,0.0,1970
BRANCAS E ROSADAS,Niagara Branca,0.0,0.0,1970
BRANCAS E ROSADAS,Niagara Rosada,0.0,0.0,1970
BRANCAS E ROSADAS,Poloske,0.0,0.0,1970
BRANCAS E ROSADAS,Seleções,0.0,0.0,1970
BRANCAS E ROSADAS,Seyve Villard,0.0,0.0,1970
BRANCAS E ROSADAS,Seyve Villard 5276,0.0,0.0,1970
BRANCAS E ROSADAS,Seyve Villard 12375,0.0,0.0,1970
BRANCAS E ROSADAS,Tardia de Caxias,0.0,0.0,1970
BRANCAS E ROSADAS,Outras(2),0.0,0.0,1970
TINTAS_TOTAL,,0.0,193695427.0,1971
TINTAS,Bacarina,106962.0,0.0,1971
TINTAS,Bailey,0.0,0.0,1971
TINTAS,Bordo,7227090.0,0.0,1971
TINTAS,Bourdin (S),0.0,0.0,1971
TINTAS,BRS Carmen,0.0,0.0,1971
TINTAS,BRS Cora,0.0,0.0,1971
TINTAS,BRS Magna,0.0,0.0,1971
TINTAS,BRS Margot,0.0,0.0,1971
TINTAS,BRS Morena,0.0,0.0,1971
TINTAS,BRS Núbia,0.0,0.0,1971
TINTAS,BRS Rúbea,0.0,0.0,1971
TINTAS,BRS Violeta,0.0,0.0,1971
TINTAS,BRS Vitória,0.0,0.0,1971
TINTAS,Champagnon (Champanheta),0.0,0.0,1971
TINTAS,Coleções,0.0,0.0,1971
TINTAS,Concord,3726469.0,0.0,1971
TINTAS,Concord clone 30,0.0,0.0,1971
TINTAS,Couderc,2835642.0,0.0,1971
TINTAS,Cynthiana(1),419550.0,0.0,1971
TINTAS,Herbemont,43864620.0,0.0,1971
TINTAS,IAC 138022,0.0,0.0,1971
TINTAS,Isabel,126754464.0,0.0,1971
TINTAS,Isabel Precoce,0.0,0.0,1971
TINTAS,Jacquez,203081.0,0.0,1971
TINTAS,Kyoko,0.0,0.0,1971
TINTAS,Landot,106917.0,0.0,1971
TINTAS,Mistura de uvas americanas tinto,0.0,0.0,1971
TINTAS,Oberlin,34722.0,0.0,1971
TINTAS,Othello,106190.0,0.0,1971
TINTAS,Paco,0.0,0.0,1971
TINTAS,Patricia,0.0,0.0,1971
TINTAS,Seibel,8309720.0,0.0,1971
TINTAS,Seibel 2 (seibeleto),0.0,0.0,1971
TINTAS,Seyve Willard (Tinta),0.0,0.0,1971
TINTAS,Vênus,0.0,0.0,1971
BRANCAS E ROSADAS_TOTAL,,0.0,557294.0,1971
BRANCAS E ROSADAS,Baco,5873.0,0.0,1971
BRANCAS E ROSADAS,Bokay,0.0,0.0,1971
BRANCAS E ROSADAS,BRS Bibiana,0.0,0.0,1971
BRANCAS E ROSADAS,BRS Clara,0.0,0.0,1971
BRANCAS E ROSADAS,BRS Lorena,0.0,0.0,1971
BRANCAS E ROSADAS,Couderc 13,0.0,0.0,1971
BRANCAS E ROSADAS,Delaware,22883.0,0.0,1971
BRANCAS E ROSADAS,Dona Zillá,0.0,0.0,1971
BRANCAS E ROSADAS,Dut Chess,0.0,0.0,1971
BRANCAS E ROSADAS,Goethe,267549.0,0.0,1971
BRANCAS E ROSADAS,IAC,0.0,0.0,1971
BRANCAS E ROSADAS,Juliana,0.0,0.0,1971
BRANCAS E ROSADAS,Martha,21972.0,0.0,1971
BRANCAS E ROSADAS,Mistura de uvas americanas,0.0,0.0,1971
BRANCAS E ROSADAS,Moscato Embrapa,0.0,0.0,1971
BRANCAS E ROSADAS,Niagara,239017.0,0.0,1971
BRANCAS E ROSADAS,Niagara Branca,0.0,0.0,1971
BRANCAS E ROSADAS,Niagara Rosada,0.0,0.0,1971
BRANCAS E ROSADAS,Poloske,0.0,0.0,1971
BRANCAS E ROSADAS,Seleções,0.0,0.0,1971
BRANCAS E ROSADAS,Seyve Villard,0.0,0.0,1971
BRANCAS E ROSADAS,Seyve Villard 5276,0.0,0.0,1971
BRANCAS E ROSADAS,Seyve Villard 12375,0.0,0.0,1971
BRANCAS E ROSADAS,Tardia de Caxias,0.0,0.0,1971
BRANCAS E ROSADAS,Outras(2),0.0,0.0,1971
TINTAS_TOTAL,,0.0,187251954.0,1972
TINTAS,Bacarina,67464.0,0.0,1972
TINTAS,Bailey,0.0,0.0,1972
TINTAS,Bordo,6530686.0,0.0,1972
TINTAS,Bourdin (S),0.0,0.0,1972
TINTAS,BRS Carmen,0.0,0.0,1972
TINTAS,BRS Cora,0.0,0.0,1972
TINTAS,BRS Magna,0.0,0.0,1972
TINTAS,BRS Margot,0.0,0.0,1972
TINTAS,BRS Morena,0.0,0.0,1972
TINTAS,BRS Núbia,0.0,0.0,1972
TINTAS,BRS Rúbea,0.0,0.0,1972
TINTAS,BRS Violeta,0.0,0.0,1972
TINTAS,BRS Vitória,0.0,0.0,1972
TINTAS,Champagnon (Champanheta),0.0,0.0,1972
TINTAS,Coleções,0.0,0.0,1972
TINTAS,Concord,2262221.0,0.0,1972
TINTAS,Concord clone 30,0.0,0.0,1972
TINTAS,Couderc,2550812.0,0.0,1972
TINTAS,Cynthiana(1),535172.0,0.0,1972
TINTAS,Herbemont,45765536.0,0.0,1972
TINTAS,IAC 138022,0.0,0.0,1972
TINTAS,Isabel,120365492.0,0.0,1972
TINTAS,Isabel Precoce,0.0,0.0,1972
TINTAS,Jacquez,278191.0,0.0,1972
TINTAS,Kyoko,0.0,0.0,1972
TINTAS,Landot,63740.0,0.0,1972
TINTAS,Mistura de uvas americanas tinto,0.0,0.0,1972
TINTAS,Oberlin,11136.0,0.0,1972
TINTAS,Othello,34525.0,0.0,1972
TINTAS,Paco,0.0,0.0,1972
TINTAS,Patricia,0.0,0.0,1972
