Categoria,Cultivar,Quantidade (KG),Total_Categoria,Ano
TINTAS_TOTAL,,0.0,56976.0,1970
TINTAS,Alphonse Lavallee,31878.0,0.0,1970
TINTAS,Moscato de Hamburgo,25098.0,0.0,1970
BRANCAS_TOTAL,,0.0,3900.0,1970
BRANCAS,Cardinal,0.0,0.0,1970
BRANCAS,Golden Queen,167.0,0.0,1970
BRANCAS,Patrícia,0.0,0.0,1970
BRANCAS,Perlona,0.0,0.0,1970
BRANCAS,Italia,3733.0,0.0,1970
BRANCAS,"Rubi (Itália, Itália Ro)",0.0,0.0,1970
TINTAS_TOTAL,,0.0,43390.0,1971
TINTAS,Alphonse Lavallee,2333.0,0.0,1971
TINTAS,Moscato de Hamburgo,41057.0,0.0,1971
BRANCAS_TOTAL,,0.0,16335.0,1971
BRANCAS,Cardinal,0.0,0.0,1971
BRANCAS,Golden Queen,8654.0,0.0,1971
BRANCAS,Patrícia,0.0,0.0,1971
BRANCAS,Perlona,0.0,0.0,1971
BRANCAS,Italia,7681.0,0.0,1971
BRANCAS,"Rubi (Itália, Itália Ro)",0.0,0.0,1971
TINTAS_TOTAL,,0.0,4428.0,1972
TINTAS,Alphonse Lavallee,170.0,0.0,1972
TINTAS,Moscato de Hamburgo,4258.0,0.0,1972
BRANCAS_TOTAL,,0.0,6829.0,1972
BRANCAS,Cardinal,0.0,0.0,1972
BRANCAS,Golden Queen,657.0,0.0,1972
BRANCAS,Patrícia,0.0,0.0,1972
BRANCAS,Perlona,4027.0,0.0,1972
BRANCAS,Italia,2145.0,0.0,1972
BRANCAS,"Rubi (Itália, Itália Ro)",0.0,0.0,1972
TINTAS_TOTAL,,0.0,8939.0,1973
TINTAS,Alphonse Lavallee,7690.0,0.0,1973
TINTAS,Moscato de Hamburgo,1249.0,0.0,1973
BRANCAS_TOTAL,,0.0,8052.0,1973
BRANCAS,Cardinal,0.0,0.0,1973
BRANCAS,Golden Queen,7312.0,0.0,1973
BRANCAS,Patrícia,0.0,0.0,1973
BRANCAS,Perlona,0.0,0.0,1973
BRANCAS,Italia,740.0,0.0,1973
BRANCAS,"Rubi (Itália, Itália Ro)",0.0,0.0,1973
TINTAS_TOTAL,,0.0,125563.0,1974
TINTAS,Alphonse Lavallee,124762.0,0.0,1974
TINTAS,Moscato de Hamburgo,801.0,0.0,1974
BRANCAS_TOTAL,,0.0,278951.0,1974
BRANCAS,Cardinal,0.0,0.0,1974
BRANCAS,Golden Queen,8467.0,0.0,1974
BRANCAS,Patrícia,0.0,0.0,1974
BRANCAS,Perlona,1695.0,0.0,1974
BRANCAS,Italia,268789.0,0.0,1974
BRANCAS,"Rubi (Itália, Itália Ro)",0.0,0.0,1974
TINTAS_TOTAL,,0.0,183731.0,1975
TINTAS,Alphonse Lavallee,74293.0,0.0,1975
TINTAS,Moscato de Hamburgo,109438.0,0.0,1975
BRANCAS_TOTAL,,0.0,587745.0,1975
BRANCAS,Cardinal,0.0,0.0,1975
BRANCAS,Golden Queen,6805.0,0.0,1975
BRANCAS,Patrícia,0.0,0.0,1975
BRANCAS,Perlona,1223.0,0.0,1975
BRANCAS,Italia,579717.0,0.0,1975
BRANCAS,"Rubi (Itália, Itália Ro)",0.0,0.0,1975
TINTAS_TOTAL,,0.0,88512.0,1976
TINTAS,Alphonse Lavallee,23684.0,0.0,1976
TINTAS,Moscato de Hamburgo,64828.0,0.0,1976
BRANCAS_TOTAL,,0.0,153445.0,1976
BRANCAS,Cardinal,0.0,0.0,1976
BRANCAS,Golden Queen,0.0,0.0,1976
BRANCAS,Patrícia,0.0,0.0,1976
BRANCAS,Perlona,1406.0,0.0,1976
BRANCAS,Italia,152039.0,0.0,1976
BRANCAS,"Rubi (Itália, Itália Ro)",0.0,0.0,1976
TINTAS_TOTAL,,0.0,113591.0,1977
TINTAS,Alphonse Lavallee,24430.0,0.0,1977
TINTAS,Moscato de Hamburgo,89161.0,0.0,1977
BRANCAS_TOTAL,,0.0,230332.0,1977
BRANCAS,Cardinal,0.0,0.0,1977
BRANCAS,Golden Queen,2391.0,0.0,1977
BRANCAS,Patrícia,0.0,0.0,1977
BRANCAS,Perlona,0.0,0.0,1977
BRANCAS,Italia,227941.0,0.0,1977
BRANCAS,"Rubi (Itália, Itália Ro)",0.0,0.0,1977
TINTAS_TOTAL,,0.0,107994.0,1978
TINTAS,Alphonse Lavallee,17339.0,0.0,1978
TINTAS,Moscato de Hamburgo,90655.0,0.0,1978
BRANCAS_TOTAL,,0.0,244151.0,1978
BRANCAS,Cardinal,0.0,0.0,1978
BRANCAS,Golden Queen,8715.0,0.0,1978
BRANCAS,Patrícia,0.0,0.0,1978
BRANCAS,Perlona,0.0,0.0,1978
BRANCAS,Italia,235436.0,0.0,1978
BRANCAS,"Rubi (Itália, Itália Ro)",0.0,0.0,1978
TINTAS_TOTAL,,0.0,160889.0,1979
TINTAS,Alphonse Lavallee,88822.0,0.0,1979
TINTAS,Moscato de Hamburgo,72067.0,0.0,1979
BRANCAS_TOTAL,,0.0,148002.0,1979
BRANCAS,Cardinal,0.0,0.0,1979
BRANCAS,Golden Queen,2051.0,0.0,1979
BRANCAS,Patrícia,0.0,0.0,1979
BRANCAS,Perlona,11377.0,0.0,1979
BRANCAS,Italia,134574.0,0.0,1979
BRANCAS,"Rubi (Itália, Itália Ro)",0.0,0.0,1979
TINTAS_TOTAL,,0.0,68763.0,1980
TINTAS,Alphonse Lavallee,23451.0,0.0,1980
TINTAS,Moscato de Hamburgo,45312.0,0.0,1980
BRANCAS_TOTAL,,0.0,74744.0,1980
BRANCAS,Cardinal,2235.0,0.0,1980
BRANCAS,Golden Queen,2765.0,0.0,1980
BRANCAS,Patrícia,0.0,0.0,1980
BRANCAS,Perlona,10722.0,0.0,1980
BRANCAS,Italia,59022.0,0.0,1980
BRANCAS,"Rubi (Itália, Itália Ro)",0.0,0.0,1980
TINTAS_TOTAL,,0.0,55774.0,1981
TINTAS,Alphonse Lavallee,12094.0,0.0,1981
TINTAS,Moscato de Hamburgo,43680.0,0.0,1981
BRANCAS_TOTAL,,0.0,51316.0,1981
BRANCAS,Cardinal,0.0,0.0,1981
BRANCAS,Golden Queen,0.0,0.0,1981
BRANCAS,Patrícia,0.0,0.0,1981
BRANCAS,Perlona,14467.0,0.0,1981
BRANCAS,Italia,36849.0,0.0,1981
BRANCAS,"Rubi (Itália, Itália Ro)",0.0,0.0,1981
TINTAS_TOTAL,,0.0,27910.0,1982
TINTAS,Alphonse Lavallee,7662.0,0.0,1982
