Categoria,Cultivar,Quantidade (KG),Total_Categoria,Ano
TINTAS_TOTAL,,0.0,10448228.0,1970
TINTAS,Alicante Bouschet,0.0,0.0,1970
TINTAS,Ancelota,0.0,0.0,1970
TINTAS,Aramon,0.0,0.0,1970
TINTAS,Alfrocheiro,0.0,0.0,1970
TINTAS,Arinarnoa,0.0,0.0,1970
TINTAS,Aspirant Bouschet,0.0,0.0,1970
TINTAS,Barbera,4548313.0,0.0,1970
TINTAS,Bonarda,1631610.0,0.0,1970
TINTAS,Cabernet Franc,238837.0,0.0,1970
TINTAS,Cabernet Sauvignon,0.0,0.0,1970
TINTAS,Caladoc,0.0,0.0,1970
TINTAS,Campanario,0.0,0.0,1970
TINTAS,Canaiolo,596766.0,0.0,1970
TINTAS,Carignan,0.0,0.0,1970
TINTAS,Carmenere,1235.0,0.0,1970
TINTAS,Castelão,0.0,0.0,1970
TINTAS,Corvina,0.0,0.0,1970
TINTAS,Croatina,0.0,0.0,1970
TINTAS,Cinsaut,0.0,0.0,1970
TINTAS,Dom Felder,0.0,0.0,1970
TINTAS,Dolcetto,0.0,0.0,1970
TINTAS,Durif,0.0,0.0,1970
TINTAS,Egiodola,0.0,0.0,1970
TINTAS,Ekigaina,0.0,0.0,1970
TINTAS,Festival (Sugraone),0.0,0.0,1970
TINTAS,Franconia,0.0,0.0,1970
TINTAS,Freisa,1661.0,0.0,1970
TINTAS,Gamay St Romain,0.0,0.0,1970
TINTAS,Gamay Beaujolais,0.0,0.0,1970
TINTAS,Grand Noir,0.0,0.0,1970
TINTAS,Grenache,19753.0,0.0,1970
TINTAS,Jaen,0.0,0.0,1970
TINTAS,Lagrein,0.0,0.0,1970
TINTAS,Lambrusco,2259.0,0.0,1970
TINTAS,Malbec,4097.0,0.0,1970
TINTAS,Marzemina,62546.0,0.0,1970
TINTAS,Merlot,185596.0,0.0,1970
TINTAS,Marselan,0.0,0.0,1970
TINTAS,Mistura de uvas viníferas tinto,0.0,0.0,1970
TINTAS,Molinera,0.0,0.0,1970
TINTAS,Montepulciano,0.0,0.0,1970
TINTAS,Moscato Bailey,0.0,0.0,1970
TINTAS,Napa Gamay,0.0,0.0,1970
TINTAS,Nebbiolo,0.0,0.0,1970
TINTAS,Petit Verdot,0.0,0.0,1970
TINTAS,Petite Sirah,0.0,0.0,1970
TINTAS,Pinotage,0.0,0.0,1970
TINTAS,Pinot Noir,0.0,0.0,1970
TINTAS,Pinot Saint George,0.0,0.0,1970
TINTAS,Piriquita,0.0,0.0,1970
TINTAS,Primitivo,0.0,0.0,1970
TINTAS,Rebo,0.0,0.0,1970
TINTAS,Refosco,0.0,0.0,1970
TINTAS,Rondinella,0.0,0.0,1970
TINTAS,Ruby Cabernet,0.0,0.0,1970
TINTAS,Sangiovese,27566.0,0.0,1970
TINTAS,Saperavi,0.0,0.0,1970
TINTAS,Sira (falsa),3127989.0,0.0,1970
TINTAS,Tannat,0.0,0.0,1970
TINTAS,Tempranillo,0.0,0.0,1970
TINTAS,Teroldego,0.0,0.0,1970
TINTAS,Torrontes,0.0,0.0,1970
TINTAS,Tinta Barroca,0.0,0.0,1970
TINTAS,Tinta Roriz,0.0,0.0,1970
TINTAS,Touriga Francesa,0.0,0.0,1970
TINTAS,Touriga Nacional,0.0,0.0,1970
TINTAS,Tinta Madeira,0.0,0.0,1970
TINTAS,Tintoria,0.0,0.0,1970
TINTAS,Trincdeira,0.0,0.0,1970
TINTAS,Trousseau,0.0,0.0,1970
TINTAS,Zinfandel,0.0,0.0,1970
TINTAS,Outras1,0.0,0.0,1970
BRANCAS E ROSADAS_TOTAL,,0.0,18858541.0,1970
BRANCAS E ROSADAS,Aliatico,0.0,0.0,1970
BRANCAS E ROSADAS,Aligote,530.0,0.0,1970
BRANCAS E ROSADAS,Altesse,0.0,0.0,1970
BRANCAS E ROSADAS,Alvarinho,0.0,0.0,1970
BRANCAS E ROSADAS,Arriloba,0.0,0.0,1970
BRANCAS E ROSADAS,Auxerrois,0.0,0.0,1970
BRANCAS E ROSADAS,Burger,0.0,0.0,1970
BRANCAS E ROSADAS,Chardonnay,0.0,0.0,1970
BRANCAS E ROSADAS,Chasselas,0.0,0.0,1970
BRANCAS E ROSADAS,Chenin Blanc,0.0,0.0,1970
BRANCAS E ROSADAS,Clairette(1),146617.0,0.0,1970
BRANCAS E ROSADAS,Colombard,0.0,0.0,1970
BRANCAS E ROSADAS,Flora,0.0,0.0,1970
BRANCAS E ROSADAS,Garganega,0.0,0.0,1970
BRANCAS E ROSADAS,Gewurztraminer,0.0,0.0,1970
BRANCAS E ROSADAS,Gouveio,0.0,0.0,1970
BRANCAS E ROSADAS,Gros Manseng,0.0,0.0,1970
BRANCAS E ROSADAS,Italia (Pirovano 65) (PE),0.0,0.0,1970
BRANCAS E ROSADAS,Maccabeo,0.0,0.0,1970
BRANCAS E ROSADAS,Malvasia,878012.0,0.0,1970
BRANCAS E ROSADAS,Malvasia Amarela,0.0,0.0,1970
BRANCAS E ROSADAS,Malvasia Bianca,0.0,0.0,1970
BRANCAS E ROSADAS,Malvasia Chianti,0.0,0.0,1970
BRANCAS E ROSADAS,Malvasia Verde,0.0,0.0,1970
BRANCAS E ROSADAS,Malvasia di Candia,0.0,0.0,1970
BRANCAS E ROSADAS,Malvasia Istriana,0.0,0.0,1970
BRANCAS E ROSADAS,Mistura de uvas viníferas branco,0.0,0.0,1970
BRANCAS E ROSADAS,Mistura de uvas viníferas rosado,0.0,0.0,1970
BRANCAS E ROSADAS,Moscato Branco,5772931.0,0.0,1970
BRANCAS E ROSADAS,Moscato Canelli,0.0,0.0,1970
BRANCAS E ROSADAS,Moscato Giallo,0.0,0.0,1970
BRANCAS E ROSADAS,Moscato Nazareno,0.0,0.0,1970
BRANCAS E ROSADAS,Moscato Bianco R2,0.0,0.0,1970
BRANCAS E ROSADAS,Moscato de Alexandria,0.0,0.0,1970
BRANCAS E ROSADAS,Moscato Rosado,0.0,0.0,1970
BRANCAS E ROSADAS,Muscat à Petits Grains,0.0,0.0,1970
BRANCAS E ROSADAS,Muller Thurgau,0.0,0.0,1970
BRANCAS E ROSADAS,Muscadelle,0.0,0.0,1970
BRANCAS E ROSADAS,Ora,0.0,0.0,1970
BRANCAS E ROSADAS,Palomino,0.0,0.0,1970
BRANCAS E ROSADAS,Petit Manseng,0.0,0.0,1970
BRANCAS E ROSADAS,Peverella,2084128.0,0.0,1970
BRANCAS E ROSADAS,Pinot Blanc,4000.0,0.0,1970
BRANCAS E ROSADAS,Pinot Gris,0.0,0.0,1970
BRANCAS E ROSADAS,Prosecco,0.0,0.0,1970
BRANCAS E ROSADAS,Red Veltliner,0.0,0.0,1970
BRANCAS E ROSADAS,Riesling Italico,413149.0,0.0,1970
BRANCAS E ROSADAS,Riesling Renano,0.0,0.0,1970
BRANCAS E ROSADAS,Sauvignon Blanc(2),2819.0,0.0,1970
BRANCAS E ROSADAS,Sauvignon Gris,0.0,0.0,1970
BRANCAS E ROSADAS,Seara Nova,0.0,0.0,1970
BRANCAS E ROSADAS,Semillon,1916.0,0.0,1970
BRANCAS E ROSADAS,Schonburger,0.0,0.0,1970
BRANCAS E ROSADAS,Sylvaner,0.0,0.0,1970
BRANCAS E ROSADAS,Tocai Friulano,0.0,0.0,1970
BRANCAS E ROSADAS,Trebbiano,7277270.0,0.0,1970
BRANCAS E ROSADAS,Trebbiano Toscano,0.0,0.0,1970
BRANCAS E ROSADAS,Verdea,0.0,0.0,1970
BRANCAS E ROSADAS,Verdelho,0.0,0.0,1970
BRANCAS E ROSADAS,Verdiso,7950.0,0.0,1970
BRANCAS E ROSADAS,Vermentino,20461.0,0.0,1970
BRANCAS E ROSADAS,Vernaccia,122467.0,0.0,1970
BRANCAS E ROSADAS,Viogner,0.0,0.0,1970
BRANCAS E ROSADAS,Viognier,0.0,0.0,1970
BRANCAS E ROSADAS,Outras(3),2126291.0,0.0,1970
TINTAS_TOTAL,,0.0,11012833.0,1971
TINTAS,Alicante Bouschet,0.0,0.0,1971
TINTAS,Ancelota,0.0,0.0,1971
TINTAS,Aramon,0.0,0.0,1971
TINTAS,Alfrocheiro,0.0,0.0,1971
TINTAS,Arinarnoa,0.0,0.0,1971
TINTAS,Aspirant Bouschet,0.0,0.0,1971
TINTAS,Barbera,3971627.0,0.0,1971
TINTAS,Bonarda,1868929.0,0.0,1971
TINTAS,Cabernet Franc,324924.0,0.0,1971
TINTAS,Cabernet Sauvignon,0.0,0.0,1971
TINTAS,Caladoc,0.0,0.0,1971
TINTAS,Campanario,0.0,0.0,1971
TINTAS,Canaiolo,607921.0,0.0,1971
TINTAS,Carignan,11796.0,0.0,1971
TINTAS,Carmenere,18288.0,0.0,1971
TINTAS,Castelão,0.0,0.0,1971
TINTAS,Corvina,0.0,0.0,1971
TINTAS,Croatina,0.0,0.0,1971
TINTAS,Cinsaut,0.0,0.0,1971
TINTAS,Dom Felder,0.0,0.0,1971
TINTAS,Dolcetto,0.0,0.0,1971
TINTAS,Durif,0.0,0.0,1971
TINTAS,Egiodola,0.0,0.0,1971
TINTAS,Ekigaina,0.0,0.0,1971
TINTAS,Festival (Sugraone),0.0,0.0,1971
TINTAS,Franconia,0.0,0.0,1971
TINTAS,Freisa,1519.0,0.0,1971
TINTAS,Gamay St Romain,0.0,0.0,1971
TINTAS,Gamay Beaujolais,0.0,0.0,1971
TINTAS,Grand Noir,930.0,0.0,1971
TINTAS,Grenache,22418.0,0.0,1971
TINTAS,Jaen,0.0,0.0,1971
TINTAS,Lagrein,0.0,0.0,1971
TINTAS,Lambrusco,2670.0,0.0,1971
TINTAS,Malbec,4884.0,0.0,1971
TINTAS,Marzemina,66569.0,0.0,1971
TINTAS,Merlot,164533.0,0.0,1971
TINTAS,Marselan,0.0,0.0,1971
TINTAS,Mistura de uvas viníferas tinto,0.0,0.0,1971
TINTAS,Molinera,0.0,0.0,1971
TINTAS,Montepulciano,0.0,0.0,1971
TINTAS,Moscato Bailey,0.0,0.0,1971
TINTAS,Napa Gamay,0.0,0.0,1971
TINTAS,Nebbiolo,0.0,0.0,1971
TINTAS,Petit Verdot,0.0,0.0,1971
TINTAS,Petite Sirah,0.0,0.0,1971
TINTAS,Pinotage,0.0,0.0,1971
TINTAS,Pinot Noir,0.0,0.0,1971
TINTAS,Pinot Saint George,0.0,0.0,1971
TINTAS,Piriquita,0.0,0.0,1971
TINTAS,Primitivo,0.0,0.0,1971
TINTAS,Rebo,0.0,0.0,1971
TINTAS,Refosco,0.0,0.0,1971
TINTAS,Rondinella,0.0,0.0,1971
TINTAS,Ruby Cabernet,0.0,0.0,1971
TINTAS,Sangiovese,59316.0,0.0,1971
TINTAS,Saperavi,0.0,0.0,1971
TINTAS,Sira (falsa),3886509.0,0.0,1971
TINTAS,Tannat,0.0,0.0,1971
TINTAS,Tempranillo,0.0,0.0,1971
TINTAS,Teroldego,0.0,0.0,1971
TINTAS,Torrontes,0.0,0.0,1971
TINTAS,Tinta Barroca,0.0,0.0,1971
TINTAS,Tinta Roriz,0.0,0.0,1971
TINTAS,Touriga Francesa,0.0,0.0,1971
TINTAS,Touriga Nacional,0.0,0.0,1971
TINTAS,Tinta Madeira,0.0,0.0,1971
TINTAS,Tintoria,0.0,0.0,1971
TINTAS,Trincdeira,0.0,0.0,1971
TINTAS,Trousseau,0.0,0.0,1971
TINTAS,Zinfandel,0.0,0.0,1971
TINTAS,Outras1,0.0,0.0,1971
