Categoria,Produto,Quantidade (L.),Total_Categoria,Ano
VINHO DE MESA_TOTAL,,0.0,217208604.0,1970
VINHO DE MESA,Tinto,174224052.0,0.0,1970
VINHO DE MESA,Branco,748400.0,0.0,1970
VINHO DE MESA,Rosado,42236152.0,0.0,1970
VINHO FINO DE MESA (VINIFERA)_TOTAL,,0.0,23899346.0,1970
VINHO FINO DE MESA (VINIFERA),Tinto,7591557.0,0.0,1970
VINHO FINO DE MESA (VINIFERA),Branco,15562889.0,0.0,1970
VINHO FINO DE MESA (VINIFERA),Rosado,744900.0,0.0,1970
SUCO_TOTAL,,0.0,1097771.0,1970
SUCO,Suco de uva integral,1097771.0,0.0,1970
SUCO,Suco de uva concentrado,0.0,0.0,1970
SUCO,Suco de uva adoçado,0.0,0.0,1970
SUCO,Suco de uva orgânico,0.0,0.0,1970
SUCO,Suco de uva reconstituído,0.0,0.0,1970
DERIVADOS_TOTAL,,0.0,14164329.0,1970
DERIVADOS,Espumante,0.0,0.0,1970
DERIVADOS,Espumante moscatel,0.0,0.0,1970
DERIVADOS,Base espumante,0.0,0.0,1970
DERIVADOS,Base espumante moscatel,0.0,0.0,1970
DERIVADOS,Base Champenoise champanha,0.0,0.0,1970
DERIVADOS,Base Charmat champanha,0.0,0.0,1970
DERIVADOS,Bebida de uva,0.0,0.0,1970
DERIVADOS,Polpa de uva,0.0,0.0,1970
DERIVADOS,Mosto simples,7170736.0,0.0,1970
DERIVADOS,Mosto concentrado,0.0,0.0,1970
DERIVADOS,Mosto de uva com bagaço,0.0,0.0,1970
DERIVADOS,Mosto dessulfitado,0.0,0.0,1970
DERIVADOS,Mistelas,1072100.0,0.0,1970
DERIVADOS,Néctar de uva,0.0,0.0,1970
DERIVADOS,Licorosos,282500.0,0.0,1970
DERIVADOS,Compostos,0.0,0.0,1970
DERIVADOS,Jeropiga,0.0,0.0,1970
DERIVADOS,Filtrado,0.0,0.0,1970
DERIVADOS,Frisante,0.0,0.0,1970
DERIVADOS,Vinho leve,0.0,0.0,1970
DERIVADOS,Vinho licoroso,0.0,0.0,1970
DERIVADOS,Brandy,0.0,0.0,1970
DERIVADOS,Destilado,830030.0,0.0,1970
DERIVADOS,Bagaceira,961290.0,0.0,1970
DERIVADOS,Licor de bagaceira,0.0,0.0,1970
DERIVADOS,Vinagre,0.0,0.0,1970
DERIVADOS,Borra líquida,3847673.0,0.0,1970
DERIVADOS,Borra seca,0.0,0.0,1970
DERIVADOS,Vinho Composto,0.0,0.0,1970
DERIVADOS,Pisco,0.0,0.0,1970
DERIVADOS,Vinho orgânico,0.0,0.0,1970
DERIVADOS,Espumante orgânico,0.0,0.0,1970
DERIVADOS,Destilado alcoólico simples de bagaceira,0.0,0.0,1970
DERIVADOS,Vinho acidificado,0.0,0.0,1970
DERIVADOS,Mosto parcialmente fermentado,0.0,0.0,1970
DERIVADOS,Outros derivados,0.0,0.0,1970
VINHO DE MESA_TOTAL,,0.0,154264651.0,1971
VINHO DE MESA,Tinto,121133369.0,0.0,1971
VINHO DE MESA,Branco,1160500.0,0.0,1971
VINHO DE MESA,Rosado,31970782.0,0.0,1971
VINHO FINO DE MESA (VINIFERA)_TOTAL,,0.0,23586062.0,1971
VINHO FINO DE MESA (VINIFERA),Tinto,7265666.0,0.0,1971
VINHO FINO DE MESA (VINIFERA),Branco,15655709.0,0.0,1971
VINHO FINO DE MESA (VINIFERA),Rosado,664687.0,0.0,1971
SUCO_TOTAL,,0.0,2296654.0,1971
SUCO,Suco de uva integral,2296654.0,0.0,1971
SUCO,Suco de uva concentrado,0.0,0.0,1971
SUCO,Suco de uva adoçado,0.0,0.0,1971
SUCO,Suco de uva orgânico,0.0,0.0,1971
SUCO,Suco de uva reconstituído,0.0,0.0,1971
DERIVADOS_TOTAL,,0.0,13280518.0,1971
DERIVADOS,Espumante,0.0,0.0,1971
DERIVADOS,Espumante moscatel,0.0,0.0,1971
DERIVADOS,Base espumante,0.0,0.0,1971
DERIVADOS,Base espumante moscatel,0.0,0.0,1971
DERIVADOS,Base Champenoise champanha,0.0,0.0,1971
DERIVADOS,Base Charmat champanha,0.0,0.0,1971
DERIVADOS,Bebida de uva,0.0,0.0,1971
DERIVADOS,Polpa de uva,0.0,0.0,1971
DERIVADOS,Mosto simples,7646774.0,0.0,1971
DERIVADOS,Mosto concentrado,0.0,0.0,1971
DERIVADOS,Mosto de uva com bagaço,0.0,0.0,1971
DERIVADOS,Mosto dessulfitado,0.0,0.0,1971
DERIVADOS,Mistelas,818400.0,0.0,1971
DERIVADOS,Néctar de uva,0.0,0.0,1971
DERIVADOS,Licorosos,270000.0,0.0,1971
DERIVADOS,Compostos,45000.0,0.0,1971
DERIVADOS,Jeropiga,0.0,0.0,1971
DERIVADOS,Filtrado,0.0,0.0,1971
DERIVADOS,Frisante,0.0,0.0,1971
DERIVADOS,Vinho leve,0.0,0.0,1971
DERIVADOS,Vinho licoroso,0.0,0.0,1971
DERIVADOS,Brandy,0.0,0.0,1971
DERIVADOS,Destilado,0.0,0.0,1971
DERIVADOS,Bagaceira,913200.0,0.0,1971
DERIVADOS,Licor de bagaceira,0.0,0.0,1971
DERIVADOS,Vinagre,21500.0,0.0,1971
DERIVADOS,Borra líquida,3565644.0,0.0,1971
DERIVADOS,Borra seca,0.0,0.0,1971
DERIVADOS,Vinho Composto,0.0,0.0,1971
DERIVADOS,Pisco,0.0,0.0,1971
DERIVADOS,Vinho orgânico,0.0,0.0,1971
DERIVADOS,Espumante orgânico,0.0,0.0,1971
DERIVADOS,Destilado alcoólico simples de bagaceira,0.0,0.0,1971
DERIVADOS,Vinho acidificado,0.0,0.0,1971
DERIVADOS,Mosto parcialmente fermentado,0.0,0.0,1971
DERIVADOS,Outros derivados,0.0,0.0,1971
VINHO DE MESA_TOTAL,,0.0,146953297.0,1972
VINHO DE MESA,Tinto,118180926.0,0.0,1972
VINHO DE MESA,Branco,1812367.0,0.0,1972
VINHO DE MESA,Rosado,26960004.0,0.0,1972
VINHO FINO DE MESA (VINIFERA)_TOTAL,,0.0,21078771.0,1972
VINHO FINO DE MESA (VINIFERA),Tinto,6782837.0,0.0,1972
VINHO FINO DE MESA (VINIFERA),Branco,13289304.0,0.0,1972
VINHO FINO DE MESA (VINIFERA),Rosado,1006630.0,0.0,1972
SUCO_TOTAL,,0.0,3509440.0,1972
SUCO,Suco de uva integral,3509440.0,0.0,1972
SUCO,Suco de uva concentrado,0.0,0.0,1972
SUCO,Suco de uva adoçado,0.0,0.0,1972
SUCO,Suco de uva orgânico,0.0,0.0,1972
SUCO,Suco de uva reconstituído,0.0,0.0,1972
DERIVADOS_TOTAL,,0.0,12314509.0,1972
DERIVADOS,Espumante,0.0,0.0,1972
DERIVADOS,Espumante moscatel,0.0,0.0,1972
DERIVADOS,Base espumante,0.0,0.0,1972
DERIVADOS,Base espumante moscatel,0.0,0.0,1972
DERIVADOS,Base Champenoise champanha,0.0,0.0,1972
DERIVADOS,Base Charmat champanha,0.0,0.0,1972
DERIVADOS,Bebida de uva,0.0,0.0,1972
DERIVADOS,Polpa de uva,0.0,0.0,1972
DERIVADOS,Mosto simples,6051822.0,0.0,1972
DERIVADOS,Mosto concentrado,0.0,0.0,1972
DERIVADOS,Mosto de uva com bagaço,0.0,0.0,1972
DERIVADOS,Mosto dessulfitado,0.0,0.0,1972
DERIVADOS,Mistelas,871200.0,0.0,1972
DERIVADOS,Néctar de uva,0.0,0.0,1972
DERIVADOS,Licorosos,254600.0,0.0,1972
DERIVADOS,Compostos,1358300.0,0.0,1972
DERIVADOS,Jeropiga,0.0,0.0,1972
DERIVADOS,Filtrado,0.0,0.0,1972
DERIVADOS,Frisante,0.0,0.0,1972
DERIVADOS,Vinho leve,0.0,0.0,1972
DERIVADOS,Vinho licoroso,0.0,0.0,1972
DERIVADOS,Brandy,0.0,0.0,1972
DERIVADOS,Destilado,0.0,0.0,1972
DERIVADOS,Bagaceira,755350.0,0.0,1972
DERIVADOS,Licor de bagaceira,0.0,0.0,1972
DERIVADOS,Vinagre,8200.0,0.0,1972
DERIVADOS,Borra líquida,3015037.0,0.0,1972
DERIVADOS,Borra seca,0.0,0.0,1972
DERIVADOS,Vinho Composto,0.0,0.0,1972
DERIVADOS,Pisco,0.0,0.0,1972
DERIVADOS,Vinho orgânico,0.0,0.0,1972
DERIVADOS,Espumante orgânico,0.0,0.0,1972
DERIVADOS,Destilado alcoólico simples de bagaceira,0.0,0.0,1972
DERIVADOS,Vinho acidificado,0.0,0.0,1972
DERIVADOS,Mosto parcialmente fermentado,0.0,0.0,1972
DERIVADOS,Outros derivados,0.0,0.0,1972
VINHO DE MESA_TOTAL,,0.0,116710345.0,1973
VINHO DE MESA,Tinto,88589019.0,0.0,1973
VINHO DE MESA,Branco,243900.0,0.0,1973
VINHO DE MESA,Rosado,27877426.0,0.0,1973
VINHO FINO DE MESA (VINIFERA)_TOTAL,,0.0,12368410.0,1973
VINHO FINO DE MESA (VINIFERA),Tinto,3419625.0,0.0,1973
VINHO FINO DE MESA (VINIFERA),Branco,7930070.0,0.0,1973
VINHO FINO DE MESA (VINIFERA),Rosado,1018715.0,0.0,1973
SUCO_TOTAL,,0.0,0.0,1973
SUCO,Suco de uva integral,0.0,0.0,1973
SUCO,Suco de uva concentrado,0.0,0.0,1973
SUCO,Suco de uva adoçado,0.0,0.0,1973
SUCO,Suco de uva orgânico,0.0,0.0,1973
SUCO,Suco de uva reconstituído,0.0,0.0,1973
DERIVADOS_TOTAL,,0.0,28317919.0,1973
DERIVADOS,Espumante,0.0,0.0,1973
DERIVADOS,Espumante moscatel,0.0,0.0,1973
DERIVADOS,Base espumante,0.0,0.0,1973
DERIVADOS,Base espumante moscatel,0.0,0.0,1973
DERIVADOS,Base Champenoise champanha,0.0,0.0,1973
DERIVADOS,Base Charmat champanha,0.0,0.0,1973
DERIVADOS,Bebida de uva,0.0,0.0,1973
DERIVADOS,Polpa de uva,0.0,0.0,1973
DERIVADOS,Mosto simples,21779327.0,0.0,1973
DERIVADOS,Mosto concentrado,0.0,0.0,1973
DERIVADOS,Mosto de uva com bagaço,0.0,0.0,1973
DERIVADOS,Mosto dessulfitado,0.0,0.0,1973
DERIVADOS,Mistelas,512900.0,0.0,1973
DERIVADOS,Néctar de uva,0.0,0.0,1973
DERIVADOS,Licorosos,176500.0,0.0,1973
DERIVADOS,Compostos,1628000.0,0.0,1973
DERIVADOS,Jeropiga,0.0,0.0,1973
DERIVADOS,Filtrado,0.0,0.0,1973
DERIVADOS,Frisante,0.0,0.0,1973
DERIVADOS,Vinho leve,0.0,0.0,1973
DERIVADOS,Vinho licoroso,0.0,0.0,1973
DERIVADOS,Brandy,0.0,0.0,1973
DERIVADOS,Destilado,0.0,0.0,1973
DERIVADOS,Bagaceira,661270.0,0.0,1973
DERIVADOS,Licor de bagaceira,0.0,0.0,1973
DERIVADOS,Vinagre,0.0,0.0,1973
DERIVADOS,Borra líquida,3559922.0,0.0,1973
DERIVADOS,Borra seca,0.0,0.0,1973
DERIVADOS,Vinho Composto,0.0,0.0,1973
DERIVADOS,Pisco,0.0,0.0,1973
DERIVADOS,Vinho orgânico,0.0,0.0,1973
